size,sc,split,scale_idx,scale_value,allowed_n,effective_vocab,dead_fraction,perplexity,entropy_bits,top1_share,n_tokens,residual_energy,geom_eff_dim,geom_mean_cos_dist
small,sc1941,train,6,32,2145,2145,0.0,1972.89281724916,10.946096864533274,0.000988671875,30720000,7041.615234375,4.694394588470459,0.9934386014938354
small,sc1941,val,0,1,1,1,0.0,1.0,-0.0,1.0,2000,3491.933349609375,4.694394588470459,0.9934386014938354
small,sc1941,val,1,2,8,5,0.375,1.9794398401749465,0.9850922211441336,0.78525,8000,254.8582305908203,4.694394588470459,0.9934386014938354
small,sc1941,val,2,4,70,42,0.4,11.345164115731475,3.50400557364106,0.1981875,32000,698.0161743164062,4.694394588470459,0.9934386014938354
small,sc1941,val,3,8,475,338,0.2884210526315789,64.60971065504627,6.0136791090485335,0.0522890625,128000,2437.00341796875,4.694394588470459,0.9934386014938354
small,sc1941,val,4,16,1675,1269,0.24238805970149258,425.5818979735217,8.733292977222767,0.007966796875,512000,4149.1171875,4.694394588470459,0.9934386014938354
small,sc1941,val,5,24,2144,2089,0.025652985074626877,1145.0503647577268,10.161195340965264,0.002236111111111111,1152000,3804.2724609375,4.694394588470459,0.9934386014938354
small,sc1941,val,6,32,2145,2095,0.023310023310023298,1985.8424433161847,10.95553544868477,0.00096044921875,2048000,7041.615234375,4.694394588470459,0.9934386014938354
medium,sc341,train,0,1,1,1,0.0,1.0,-0.0,1.0,30000,3062.204345703125,1.6694328784942627,0.9867274165153503
medium,sc341,train,1,2,17,17,0.0,4.759728353869155,2.2508792387204206,0.41920833333333335,120000,3207.889404296875,1.6694328784942627,0.9867274165153503
medium,sc341,train,2,4,145,145,0.0,37.31817501634611,5.22180653018623,0.052,480000,6231.8525390625,1.6694328784942627,0.9867274165153503
medium,sc341,train,3,8,1177,1177,0.0,382.13182280771605,8.577926595847998,0.006613020833333334,1920000,31953.66015625,1.6694328784942627,0.9867274165153503
medium,sc341,train,4,16,2094,2094,0.0,2032.1775632620888,10.988810748999436,0.00075,7680000,118177.6796875,1.6694328784942627,0.9867274165153503
medium,sc341,val,0,1,1,1,0.0,1.0,-0.0,1.0,2000,3062.204345703125,1.6694328784942627,0.9867274165153503
medium,sc341,val,1,2,17,13,0.23529411764705888,5.73417665365689,2.5195863505897718,0.310125,8000,3207.889404296875,1.6694328784942627,0.9867274165153503
medium,sc341,val,2,4,145,93,0.35862068965517246,39.499758729481215,5.3037719360038365,0.048875,32000,6231.8525390625,1.6694328784942627,0.9867274165153503
medium,sc341,val,3,8,1177,814,0.30841121495327106,373.17379376075667,8.54370386583875,0.0071171875,128000,31953.66015625,1.6694328784942627,0.9867274165153503
medium,sc341,val,4,16,2094,2094,0.0,2019.4887662946521,10.97977440552058,0.000880859375,512000,118177.6796875,1.6694328784942627,0.9867274165153503
medium,sc917,train,0,1,1,1,0.0,1.0,-0.0,1.0,30000,3493.531494140625,3.7255947589874268,0.9850783348083496
medium,sc917,train,1,2,10,10,0.0,2.580190687027448,1.367477690866732,0.5546916666666667,120000,1003.9656982421875,3.7255947589874268,0.9850783348083496
medium,sc917,train,2,4,49,49,0.0,17.19495675276525,4.103913582217634,0.11543125,480000,2489.587158203125,3.7255947589874268,0.9850783348083496
